ts,Tsurf,Csurf,Tc,Cc,jw,W,Tamb,Camb
0.0,301.15,2.5499743914018955,301.15,2.55,3.5852037346073533e-09,0.7401769282992966,301.15,0.01963
1.0,301.15014944553104,2.549946917579053,301.15,2.55,3.580005365420935e-09,0.7401768243118652,301.1588,0.0196365
2.0,301.15045840875973,2.549928463147448,301.15,2.55,3.5750608431526883e-09,0.7401767204686727,301.1676,0.019643
3.0,301.15086402009933,2.549913781428768,301.15,2.55,3.5702573283382553e-09,0.7401766167670347,301.1764,0.0196495
4.0,301.1513482489078,2.54990115052363,301.15,2.55,3.565560820840427e-09,0.7401765132032182,301.18519999999995,0.019656
5.0,301.15189942054286,2.5498899513991455,301.15,2.55,3.5609530592170535e-09,0.7401764097740305,301.19399999999996,0.019662500000000003
6.0,301.152510560938,2.5498798432088403,301.15,2.55,3.5564233561792305e-09,0.7401763064773293,301.20279999999997,0.019669000000000002
7.0,301.1531763734072,2.5498705680734197,301.15,2.55,3.5519636038441715e-09,0.7401762033112016,301.2116,0.019675500000000002
8.0,301.1538918013798,2.5498619244212195,301.15,2.55,3.5475663994029514e-09,0.7401761002735101,301.2204,0.019682
9.0,301.15465467843876,2.549853868088219,301.15,2.55,3.5432288943781e-09,0.7401759973628936,301.2292,0.0196885
10.0,301.1554605981462,2.549846221791311,301.15,2.55,3.5389446257643062e-09,0.7401758945774917,301.238,0.019695
11.0,301.1563076322331,2.5498389570079807,301.15,2.55,3.534711140164812e-09,0.7401757919158514,301.24679999999995,0.0197015
12.0,301.15719327410227,2.5498320109048063,301.15,2.55,3.530525051244465e-09,0.7401756893764282,301.25559999999996,0.019708
13.0,301.1581153934876,2.5498253289309636,301.15,2.55,3.5263834731178943e-09,0.7401755869578054,301.26439999999997,0.019714500000000003
14.0,301.1590730899706,2.5498189186290965,301.15,2.55,3.522285421331417e-09,0.7401754846588136,301.2732,0.019721000000000002
15.0,301.16006421278865,2.5498127244102786,301.15,2.55,3.5182279779502637e-09,0.7401753824780375,301.282,0.019727500000000002
16.0,301.16108830183634,2.5498067537107056,301.15,2.55,3.514210670156065e-09,0.7401752804145291,301.2908,0.019734
17.0,301.16214363509846,2.54980097175494,301.15,2.55,3.510231236381686e-09,0.7401751784669639,301.2996,0.0197405
