audit_ok,clear_ratio,cleared,complete_proof,completion_kind,error,exit_per_source_s,exit_s,full_clear,index,last_clear_per_source_s,last_clear_s,n_clear_failure,n_clear_success,n_measure,n_rejected,n_sources,n_switch,policy,scenario,seed,split,status,t_clear_s,t_measure_s,t_switch_s,t_travel_s,tail_s,trace_file,travel_m,wall_s,wall_within_1200s
True,1.0,12,True,tour,,354.1582668221779,4249.899201866135,True,8,354.1582668221779,4249.899201866135,5,12,217,0,12,215,tour,annulus,2026191976,main,ok,75.0,1085.0,215.0,2874.8992018661347,0.0,traces/main_annulus_008_2026191976_tour.json,14374.496009330673,0.18155121803283691,True
True,1.0,12,True,continuous_cell,,296.019807115476,3552.237685385712,True,9,296.019807115476,3552.237685385712,0,12,149,0,12,138,adaptive,annulus,2026192073,main,ok,60.0,745.0,138.0,2609.2376853857127,0.0,traces/main_annulus_009_2026192073_adaptive.json,13046.188426928564,0.19716095924377441,True
True,1.0,12,,field,,507.2072386123438,6086.486863348126,True,9,305.59474749278655,3667.136969913439,3,12,200,0,12,193,field,annulus,2026192073,main,ok,69.0,1000.0,193.0,4824.486863348121,2419.3498934346867,traces/main_annulus_009_2026192073_field.json,24122.434316740604,0.033833980560302734,True
True,1.0,12,True,continuous_cell,,287.5902516831955,3451.0830201983463,True,9,287.5902516831955,3451.0830201983463,4,12,132,0,12,121,joint,annulus,2026192073,main,ok,72.0,660.0,121.0,2598.0830201983463,0.0,traces/main_annulus_009_2026192073_joint.json,12990.415100991731,0.5131230354309082,True
True,1.0,12,,sweep,,375.45438811393757,4505.452657367251,True,9,375.45438811393757,4505.452657367251,0,12,158,0,12,156,sweep,annulus,2026192073,main,ok,60.0,790.0,156.0,3499.4526573672506,0.0,traces/main_annulus_009_2026192073_sweep.json,17497.263286836253,0.0461728572845459,True
True,1.0,12,True,tour,,354.2424049851231,4250.908859821477,True,9,354.2424049851231,4250.908859821477,4,12,204,0,12,202,tour,annulus,2026192073,main,ok,72.0,1020.0,202.0,2956.908859821476,0.0,traces/main_annulus_009_2026192073_tour.json,14784.544299107381,0.1104269027709961,True
True,1.0,12,True,continuous_cell,,287.33666867243625,3448.040024069235,True,10,278.530577559097,3342.366930709164,2,12,174,0,12,166,adaptive,annulus,2026192170,main,ok,66.0,870.0,166.0,2346.0400240692356,105.6730933600711,traces/main_annulus_010_2026192170_adaptive.json,11730.200120346179,0.17255806922912598,True
True,1.0,12,,field,,391.3658768599942,4696.390522319931,True,10,262.7292447424912,3152.7509369098943,0,12,202,0,12,194,field,annulus,2026192170,main,ok,60.0,1010.0,194.0,3432.39052231993,1543.6395854100365,traces/main_annulus_010_2026192170_field.json,17161.95261159965,0.041799068450927734,True
True,1.0,12,True,continuous_cell,,274.2128825624702,3290.5545907496426,True,10,274.2128825624702,3290.5545907496426,0,12,153,0,12,141,joint,annulus,2026192170,main,ok,60.0,765.0,141.0,2324.554590749642,0.0,traces/main_annulus_010_2026192170_joint.json,11622.77295374821,0.4535229206085205,True
True,1.0,12,,sweep,,374.6047830512582,4495.2573966150985,True,10,374.6047830512582,4495.2573966150985,0,12,177,0,12,174,sweep,annulus,2026192170,main,ok,60.0,885.0,174.0,3376.2573966150985,0.0,traces/main_annulus_010_2026192170_sweep.json,16881.286983075493,0.0395660400390625,True
True,1.0,12,True,tour,,415.3104016152885,4983.724819383462,True,10,396.964464027921,4763.573568335052,11,12,211,0,12,208,tour,annulus,2026192170,main,ok,93.0,1055.0,208.0,3627.7248193834594,220.1512510484099,traces/main_annulus_010_2026192170_tour.json,18138.624096917298,0.12822294235229492,True
True,1.0,12,True,continuous_cell,,314.29654733616684,3771.558568034002,True,11,314.29654733616684,3771.558568034002,0,12,152,0,12,150,adaptive,annulus,2026192267,main,ok,60.0,760.0,150.0,2801.558568034002,0.0,traces/main_annulus_011_2026192267_adaptive.json,14007.79284017001,0.1435096263885498,True
True,0.9166666666666666,11,,field,,428.5409661426354,4713.950627568989,False,11,280.8097772893092,3088.907550182401,1,11,199,0,12,190,field,annulus,2026192267,main,ok,58.0,995.0,190.0,3470.950627568988,1625.0430773865883,traces/main_annulus_011_2026192267_field.json,17354.75313784494,0.04119396209716797,True
True,1.0,12,True,continuous_cell,,276.7052993479354,3320.463592175225,True,11,276.7052993479354,3320.463592175225,0,12,164,0,12,158,joint,annulus,2026192267,main,ok,60.0,820.0,158.0,2282.463592175224,0.0,traces/main_annulus_011_2026192267_joint.json,11412.317960876122,0.4337470531463623,True
True,1.0,12,,sweep,,350.42247929694196,4205.069751563304,True,11,350.42247929694196,4205.069751563304,0,12,134,0,12,133,sweep,annulus,2026192267,main,ok,60.0,670.0,133.0,3342.0697515633046,0.0,traces/main_annulus_011_2026192267_sweep.json,16710.348757816522,0.04360222816467285,True
True,1.0,12,True,tour,,341.5063909041189,4098.076690849427,True,11,341.5063909041189,4098.076690849427,2,12,220,0,12,218,tour,annulus,2026192267,main,ok,66.0,1100.0,218.0,2714.0766908494275,0.0,traces/main_annulus_011_2026192267_tour.json,13570.383454247138,0.1075129508972168,True
