x_m,y_m,r_m,phi_deg,E_diam_given_detectable_m,E_diam_mixed_mm,p_detectable,cov_weight,Dmin_m,Dmax_m,E_diam_err_given_detectable_m,E_diam_err_mixed_m,cov_err,n_ok,usable,near_axis_unusable_band
-1200.0,-1320.0,1783.9282,227.7263,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-1170.0,-1320.0,1763.8878,228.4474,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-1140.0,-1320.0,1744.133,229.1849,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-1110.0,-1320.0,1724.6739,229.9392,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-1080.0,-1320.0,1705.5204,230.7106,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-1050.0,-1320.0,1686.6831,231.4993,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-1020.0,-1320.0,1668.1727,232.3058,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-990.0,-1320.0,1650.0,233.1301,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-960.0,-1320.0,1632.1765,233.9726,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-930.0,-1320.0,1614.7136,234.8336,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-900.0,-1320.0,1597.6232,235.7131,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-870.0,-1320.0,1580.9175,236.6115,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-840.0,-1320.0,1564.6086,237.5288,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-810.0,-1320.0,1548.7091,238.4652,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-780.0,-1320.0,1533.2319,239.4208,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-750.0,-1320.0,1518.1897,240.3955,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-720.0,-1320.0,1503.5957,241.3895,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-690.0,-1320.0,1489.463,242.4027,177.239368,177.239368,1.0,1.0,35.042043,266.070555,177.506655,177.506655,1.0,300,1,0
-660.0,-1320.0,1475.8049,243.4349,173.831492,173.831492,1.0,1.0,34.466321,261.480394,167.986797,167.986797,1.0,300,1,0
-630.0,-1320.0,1462.6346,244.4861,170.473878,170.473878,1.0,1.0,33.915748,256.941518,173.753815,173.753815,1.0,300,1,0
-600.0,-1320.0,1449.9655,245.556,167.166555,167.166555,1.0,1.0,33.390265,252.45397,176.765228,176.765228,1.0,300,1,0
-570.0,-1320.0,1437.8108,246.6444,163.909548,163.909548,1.0,1.0,32.889809,248.017791,159.75219,159.75219,1.0,300,1,0
-540.0,-1320.0,1426.1837,247.751,160.702887,160.702887,1.0,1.0,32.414321,243.633027,154.370905,154.370905,1.0,300,1,0
-510.0,-1320.0,1415.0972,248.8753,157.546601,157.546601,1.0,1.0,31.96374,239.299728,164.187775,164.187775,1.0,300,1,0
-480.0,-1320.0,1404.564,250.0169,154.44072,154.44072,1.0,1.0,31.538006,235.017944,148.883376,148.883376,1.0,300,1,0
-450.0,-1320.0,1394.5967,251.1753,151.385276,151.385276,1.0,1.0,31.13706,230.787731,144.651188,144.651188,1.0,300,1,0
-420.0,-1320.0,1385.2076,252.3499,148.380299,148.380299,1.0,1.0,30.760842,226.609145,156.093407,156.093407,1.0,300,1,0
-390.0,-1320.0,1376.4084,253.54,145.425823,145.425823,1.0,1.0,30.409291,222.482246,141.211175,141.211175,1.0,300,1,0
-360.0,-1320.0,1368.2105,254.7449,142.521865,142.521865,1.0,1.0,30.08235,218.407099,134.900272,134.900272,1.0,300,1,0
-330.0,-1320.0,1360.6249,255.9638,139.668454,139.668454,1.0,1.0,29.779958,214.383769,141.962621,141.962621,1.0,300,1,0
-300.0,-1320.0,1353.6617,257.1957,136.865641,136.865641,1.0,1.0,29.502058,210.412326,130.40699,130.40699,1.0,300,1,0
-270.0,-1320.0,1347.3307,258.4399,134.11346,134.11346,1.0,1.0,29.248589,206.492844,127.247769,127.247769,1.0,300,1,0
-240.0,-1320.0,1341.6408,259.6952,131.41194,131.41194,1.0,1.0,29.019494,202.625397,129.718479,129.718479,1.0,300,1,0
-210.0,-1320.0,1336.6002,260.9605,128.761113,128.761113,1.0,1.0,28.814714,198.810066,129.929737,129.929737,1.0,300,1,0
-180.0,-1320.0,1332.2162,262.2348,126.161007,126.161007,1.0,1.0,28.634191,195.046932,125.11312,125.11312,1.0,300,1,0
-150.0,-1320.0,1328.4954,263.5169,123.61165,123.61165,1.0,1.0,28.477867,191.336081,126.371403,126.371403,1.0,300,1,0
-120.0,-1320.0,1325.4433,264.8056,121.113069,121.113069,1.0,1.0,28.345684,187.677601,126.370007,126.370007,1.0,300,1,0
-90.0,-1320.0,1323.0646,266.0995,118.665287,118.665287,1.0,1.0,28.237585,184.071586,119.173084,119.173084,1.0,300,1,0
