x_m,y_m,r_m,phi_deg,E_diam_given_detectable_m,E_diam_mixed_mm,p_detectable,cov_weight,Dmin_m,Dmax_m,E_diam_err_given_detectable_m,E_diam_err_mixed_m,cov_err,n_ok,usable,near_axis_unusable_band
100.0,-1760.0,1762.8386,273.2519,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
120.0,-1760.0,1764.0862,273.9005,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
140.0,-1760.0,1765.5594,274.548,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
160.0,-1760.0,1767.2578,275.1944,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
180.0,-1760.0,1769.1806,275.8395,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
200.0,-1760.0,1771.3272,276.4831,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
220.0,-1760.0,1773.6967,277.125,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
240.0,-1760.0,1776.2883,277.7652,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
260.0,-1760.0,1779.1009,278.4034,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
280.0,-1760.0,1782.1336,279.0395,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
300.0,-1760.0,1785.3851,279.6734,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
320.0,-1760.0,1788.8544,280.3048,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
340.0,-1760.0,1792.5401,280.9338,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
360.0,-1760.0,1796.4409,281.5601,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-460.0,-1740.0,1799.7778,255.1916,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-440.0,-1740.0,1794.7702,255.8089,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-420.0,-1740.0,1789.9721,256.4296,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
