group,label,clear_ratio,cleared_mean,avg_clear_time_s,virtual_time_s,travel_m,n_measure,n_scan_rounds,n_clear_fail,n_sweep_aborted,n_sweep_miss,n_probe_issued,n_rejected
距离项系数 λ,λ=0.0,0.9835164835164835,11.933333333333334,446.57668351144514,10170.2283569565,44633.475118115835,198.13333333333333,29,0.26666666666666666,0,0,12.2,0
距离项系数 λ,λ=0.35,0.9945054945054945,12.066666666666666,345.98483239485313,6153.608829869503,24896.044149347494,186.7,29,0.13333333333333333,0,0,12.2,0
距离项系数 λ,λ=0.75,0.9917582417582418,12.033333333333333,318.5073391264444,5566.719929740102,21970.43298203382,186.36666666666667,29,0.4666666666666667,0,0,12.5,0
距离项系数 λ,λ=1.5,0.9945054945054945,12.066666666666666,314.6463946437221,5270.271216695669,20507.856083478327,185.96666666666667,29,0.23333333333333334,0,0,12.3,0
距离项系数 λ,λ=3.0,0.9945054945054945,12.066666666666666,323.52686001370057,5361.334947733315,20877.00807199989,188.6,29,0.7666666666666667,0,0,12.833333333333334,0
距离项系数 λ,λ=6.0,0.9945054945054945,12.066666666666666,352.36487487309586,6356.938798450427,26100.693992252112,180.53333333333333,29,0.5,0,0,12.566666666666666,0
无信号重测间隔 (m),gap=250,0.8928571428571429,10.833333333333334,367.2504395179724,5612.245711413766,17188.895223735486,353.8666666666667,29,0.26666666666666666,0,0,11.1,0
无信号重测间隔 (m),gap=450,0.9917582417582418,12.033333333333333,397.81261219175997,6389.829392764321,23008.6469638216,289.06666666666666,29,0.4666666666666667,0,0,12.5,0
无信号重测间隔 (m),gap=700,0.9945054945054945,12.066666666666666,347.2860794749945,6671.860876260512,25987.804381302547,236.96666666666667,29,0.3333333333333333,0,0,12.4,0
无信号重测间隔 (m),gap=1000,0.9945054945054945,12.066666666666666,314.6463946437221,5270.271216695669,20507.856083478327,185.96666666666667,29,0.23333333333333334,0,0,12.3,0
消融（默认配置）,baseline,0.9945054945054945,12.066666666666666,314.6463946437221,5270.271216695669,20507.856083478327,185.96666666666667,29,0.23333333333333334,0,0,12.3,0
消融（默认配置）,静态航路（阶段内不重规划）,0.9945054945054945,12.066666666666666,323.6410375869338,5334.159797950521,20846.965656419256,185.3,29,0.23333333333333334,0,0,12.3,0
消融（默认配置）,动态+按预算裁剪航路,0.9945054945054945,12.066666666666666,314.6463946437221,5270.271216695669,20507.856083478327,185.96666666666667,29,0.23333333333333334,0,0,12.3,0
消融（默认配置）,动态 rollout（一步前瞻）,0.9945054945054945,12.066666666666666,312.0061404278413,5297.8989845729375,20669.49492286467,185.2,29,0.1,0,0,12.166666666666666,0
消融（默认配置）,无 2-opt（仅最近邻）,0.9945054945054945,12.066666666666666,320.4285894584253,5282.253686929942,20576.601767983026,185.66666666666666,29,0.2,0,0,12.266666666666667,0
消融（默认配置）,2-opt 保第一步为最近邻,0.9945054945054945,12.066666666666666,320.4285894584253,5282.253686929942,20576.601767983026,185.66666666666666,29,0.2,0,0,12.266666666666667,0
消融（默认配置）,不顺路补测,0.9945054945054945,12.066666666666666,313.8429721048456,4977.981275533235,19278.239710999496,178.16666666666666,29,0.4666666666666667,0,0,12.533333333333333,0
消融（默认配置）,不顺路补测+多扫描轮,0.9945054945054945,12.066666666666666,313.8429721048456,4977.981275533235,19278.239710999496,178.16666666666666,29,0.4666666666666667,0,0,12.533333333333333,0
消融（默认配置）,叠加探索项,0.9945054945054945,12.066666666666666,314.6463946437221,5270.271216695669,20507.856083478327,185.96666666666667,29,0.23333333333333334,0,0,12.3,0
消融（默认配置）,新频道立刻补第二方位,0.989010989010989,12,324.91044965157624,5331.962840671339,20794.64753669001,186.6,29,0.4666666666666667,0,0,12.466666666666667,0
消融（默认配置）,不做覆盖式试探（只清中心，封顶 1 点）,0.9862637362637363,11.966666666666667,317.1093313606688,5265.724438450395,20488.45552558529,185.93333333333334,29,0.23333333333333334,0,0.23333333333333334,12.2,0
消融（默认配置）,覆盖式试探按点数封顶 60（破坏覆盖保证）,0.9945054945054945,12.066666666666666,314.6463946437221,5270.271216695669,20507.856083478327,185.96666666666667,29,0.23333333333333334,0,0,12.3,0
预算分配（扫描 vs 清除）,扫描闸门（扫完须够清最近目标）,0.9945054945054945,12.066666666666666,314.6463946437221,5270.271216695669,20507.856083478327,185.96666666666667,29,0.23333333333333334,0,0,12.3,0
预算分配（扫描 vs 清除）,扫描时间上限 50% 预算,0.9945054945054945,12.066666666666666,314.6463946437221,5270.271216695669,20507.856083478327,185.96666666666667,29,0.23333333333333334,0,0,12.3,0
预算分配（扫描 vs 清除）,清理近点子集（可达性预筛）,0.9945054945054945,12.066666666666666,314.6463946437221,5270.271216695669,20507.856083478327,185.96666666666667,29,0.23333333333333334,0,0,12.3,0
预算分配（扫描 vs 清除）,贪心+剩余预算可达（greedy_cost）,0.9945054945054945,12.066666666666666,319.9758839757813,5288.712839294531,20605.730863139303,185.76666666666668,29,0.2,0,0,12.266666666666667,0
消融（默认配置）,网格步长 200 m,0.9917582417582418,12.033333333333333,312.1255597923898,5263.9124874191075,20428.39577042885,187.43333333333334,29,0.43333333333333335,0,0,12.466666666666667,0
消融（默认配置）,网格步长 50 m,0.9945054945054945,12.066666666666666,314.5913504068227,5166.932331230315,19945.661656151573,187.3,29,0.6666666666666666,0,0,12.733333333333333,0
