x_m,y_m,r_m,phi_deg,E_diam_given_detectable_m,E_diam_mixed_mm,p_detectable,cov_weight,Dmin_m,Dmax_m,E_diam_err_given_detectable_m,E_diam_err_mixed_m,cov_err,n_ok,usable,near_axis_unusable_band
450.0,-1740.0,1797.2479,284.5002,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-540.0,-1710.0,1793.2373,252.4744,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-510.0,-1710.0,1784.4327,253.393,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-480.0,-1710.0,1776.0912,254.3205,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-450.0,-1710.0,1768.2194,255.2564,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-420.0,-1710.0,1760.8237,256.2005,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-390.0,-1710.0,1753.9099,257.1523,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-360.0,-1710.0,1747.4839,258.1113,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-330.0,-1710.0,1741.551,259.0772,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-300.0,-1710.0,1736.1164,260.0494,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-270.0,-1710.0,1731.1846,261.0274,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-240.0,-1710.0,1726.76,262.0107,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-210.0,-1710.0,1722.8465,262.9987,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-180.0,-1710.0,1719.4476,263.991,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-150.0,-1710.0,1716.5663,264.9869,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-120.0,-1710.0,1714.2054,265.9858,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-90.0,-1710.0,1712.3668,266.9872,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-60.0,-1710.0,1711.0523,267.9904,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
-30.0,-1710.0,1710.2631,268.9949,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
0.0,-1710.0,1710.0,270.0,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
30.0,-1710.0,1710.2631,271.0051,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
60.0,-1710.0,1711.0523,272.0096,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
90.0,-1710.0,1712.3668,273.0128,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
120.0,-1710.0,1714.2054,274.0142,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
150.0,-1710.0,1716.5663,275.0131,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
180.0,-1710.0,1719.4476,276.009,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
210.0,-1710.0,1722.8465,277.0013,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
240.0,-1710.0,1726.76,277.9893,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
270.0,-1710.0,1731.1846,278.9726,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
300.0,-1710.0,1736.1164,279.9506,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
330.0,-1710.0,1741.551,280.9228,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
360.0,-1710.0,1747.4839,281.8887,nan,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0,0,0
